Date,High,Low,Open,Close,Volume,Adj Close
2020-11-11,118.3499984741211,116.22000122070312,118.12000274658203,117.19999694824219,4289600,117.19999694824219
2020-11-12,116.37000274658203,113.4800033569336,115.62999725341797,114.5,6498200,114.5
2020-11-13,117.37000274658203,115.01000213623047,115.19000244140625,116.8499984741211,4682600,116.8499984741211
2020-11-16,118.55000305175781,117.12000274658203,118.30000305175781,118.36000061035156,5293400,118.36000061035156
2020-11-17,118.54000091552734,117.06999969482422,117.5999984741211,117.69999694824219,4134500,117.69999694824219
2020-11-18,118.87999725341797,116.75,117.72000122070312,116.7699966430664,4606800,116.7699966430664
2020-11-19,117.44999694824219,115.88999938964844,116.54000091552734,117.18000030517578,3439600,117.18000030517578
2020-11-20,118.04000091552734,116.69000244140625,117.5999984741211,116.94000244140625,5024300,116.94000244140625
2020-11-23,120.5199966430664,117.2699966430664,117.43000030517578,120.08999633789062,5650400,120.08999633789062
2020-11-24,124.7300033569336,120.80999755859375,120.86000061035156,124.41999816894531,7752500,124.41999816894531
2020-11-25,124.33000183105469,122.11000061035156,122.93000030517578,124.19999694824219,4135900,124.19999694824219
2020-11-27,125.30999755859375,123.91000366210938,124.19999694824219,124.3499984741211,2091200,124.3499984741211
2020-11-30,125.0,123.08999633789062,124.0999984741211,123.5199966430664,5988000,123.5199966430664
2020-12-01,125.83000183105469,123.08000183105469,123.9000015258789,123.16000366210938,5312100,123.16000366210938
2020-12-02,124.63999938964844,122.41000366210938,122.8499984741211,124.62000274658203,3690700,124.62000274658203
2020-12-03,124.86000061035156,123.29000091552734,124.16000366210938,123.61000061035156,4548200,123.61000061035156
2020-12-04,127.37999725341797,123.63999938964844,123.97000122070312,127.19999694824219,5522800,127.19999694824219
2020-12-07,126.97000122070312,124.56999969482422,126.48999786376953,124.69999694824219,8318500,124.69999694824219
2020-12-08,126.33000183105469,124.63999938964844,125.31999969482422,125.70999908447266,5395000,125.70999908447266
2020-12-09,127.69000244140625,125.69999694824219,125.80000305175781,126.79000091552734,6513500,126.79000091552734
2020-12-10,126.93000030517578,124.94000244140625,126.3499984741211,124.95999908447266,4803200,124.95999908447266
2020-12-11,125.51000213623047,123.61000061035156,124.08000183105469,124.2699966430664,4481400,124.2699966430664
2020-12-14,126.23999786376953,123.47000122070312,125.31999969482422,123.52999877929688,5050000,123.52999877929688
2020-12-15,125.93000030517578,123.44000244140625,124.38999938964844,125.93000030517578,4359600,125.93000030517578
2020-12-16,126.56999969482422,125.29000091552734,125.93000030517578,125.55000305175781,4530100,125.55000305175781
2020-12-17,126.08999633789062,124.91000366210938,126.08000183105469,125.55000305175781,3788000,125.55000305175781
2020-12-18,126.4000015258789,124.97000122070312,125.58999633789062,125.8499984741211,7552800,125.8499984741211
2020-12-21,124.18000030517578,121.72000122070312,123.97000122070312,123.38999938964844,6115700,123.38999938964844
2020-12-22,124.22000122070312,122.41000366210938,123.30999755859375,123.61000061035156,4336100,123.61000061035156
2020-12-23,125.20999908447266,123.73999786376953,123.87999725341797,123.9000015258789,2693900,123.9000015258789
2020-12-24,125.0999984741211,124.20999908447266,125.0,124.69000244140625,1761100,124.69000244140625
2020-12-28,126.5999984741211,124.45999908447266,125.0999984741211,124.81999969482422,3615200,124.81999969482422
2020-12-29,125.4800033569336,123.23999786376953,125.3499984741211,123.80000305175781,3487000,123.80000305175781
2020-12-30,124.8499984741211,123.62999725341797,123.80000305175781,124.33999633789062,3380300,124.33999633789062
2020-12-31,126.02999877929688,123.98999786376953,124.22000122070312,125.87999725341797,3574400,125.87999725341797
2021-01-04,125.91999816894531,123.04000091552734,125.8499984741211,123.94000244140625,5179200,123.94000244140625
2021-01-05,126.68000030517578,124.61000061035156,125.01000213623047,126.13999938964844,6114600,126.13999938964844
2021-01-06,131.8800048828125,126.72000122070312,126.9000015258789,129.2899932861328,7956700,129.2899932861328
2021-01-07,130.4600067138672,128.25999450683594,130.0399932861328,128.99000549316406,4507400,128.99000549316406
2021-01-08,129.32000732421875,126.9800033569336,128.57000732421875,128.52999877929688,4676200,128.52999877929688
2021-01-11,129.67999267578125,127.66000366210938,127.94999694824219,128.5800018310547,5602500,128.5800018310547
2021-01-12,129.85000610351562,127.94000244140625,129.08999633789062,129.2100067138672,3747700,129.2100067138672
2021-01-13,129.75,128.97500610351562,129.08999633789062,129.05499267578125,336216,129.05499267578125
